机器	原始行	机型	配方	规则行	计划批次每tick	制造占时	面积	存通道数	取通道数	投入每tick	产出每tick	各存口速率	各取口速率
M149	151	研磨机	研磨-细磨荞花	94	1	1	24	3	1	"{""荞花粉末"": ""2"", ""砂叶粉末"": ""1""}"	"{""细磨荞花粉末"": ""1""}"	"[""1"", ""1"", ""1""]"	"[""1""]"
M150	152	研磨机	研磨-细磨荞花	94	1	1	24	4	1	"{""荞花粉末"": ""2"", ""砂叶粉末"": ""1""}"	"{""细磨荞花粉末"": ""1""}"	"[""1/2"", ""1/2"", ""1"", ""1""]"	"[""1""]"
M151	153	研磨机	研磨-细磨荞花	94	1/2	1/2	24	2	1	"{""荞花粉末"": ""1"", ""砂叶粉末"": ""1/2""}"	"{""细磨荞花粉末"": ""1/2""}"	"[""1/2"", ""1""]"	"[""1/2""]"
M152	154	塑形机	塑形-钢质瓶	97	1	1	9	2	1	"{""钢块"": ""2""}"	"{""钢质瓶"": ""1""}"	"[""1"", ""1""]"	"[""1""]"
M153	155	塑形机	塑形-钢质瓶	97	1	1	9	2	1	"{""钢块"": ""2""}"	"{""钢质瓶"": ""1""}"	"[""1"", ""1""]"	"[""1""]"
M154	156	塑形机	塑形-钢质瓶	97	1	1	9	2	1	"{""钢块"": ""2""}"	"{""钢质瓶"": ""1""}"	"[""1"", ""1""]"	"[""1""]"
M155	157	塑形机	塑形-钢质瓶	97	1	1	9	2	1	"{""钢块"": ""2""}"	"{""钢质瓶"": ""1""}"	"[""1"", ""1""]"	"[""1""]"
M156	158	塑形机	塑形-钢质瓶	97	1	1	9	2	1	"{""钢块"": ""2""}"	"{""钢质瓶"": ""1""}"	"[""1"", ""1""]"	"[""1""]"
M157	159	塑形机	塑形-钢质瓶	97	1/2	1/2	9	1	1	"{""钢块"": ""1""}"	"{""钢质瓶"": ""1/2""}"	"[""1""]"	"[""1/2""]"
M158	160	配件机	配件-钢制零件	100	1	1	9	1	1	"{""钢块"": ""1""}"	"{""钢制零件"": ""1""}"	"[""1""]"	"[""1""]"
M159	161	配件机	配件-钢制零件	100	1	1	9	1	1	"{""钢块"": ""1""}"	"{""钢制零件"": ""1""}"	"[""1""]"	"[""1""]"
M160	162	配件机	配件-钢制零件	100	1	1	9	1	1	"{""钢块"": ""1""}"	"{""钢制零件"": ""1""}"	"[""1""]"	"[""1""]"
M161	163	配件机	配件-钢制零件	100	1	1	9	1	1	"{""钢块"": ""1""}"	"{""钢制零件"": ""1""}"	"[""1""]"	"[""1""]"
M162	164	配件机	配件-钢制零件	100	1	1	9	1	1	"{""钢块"": ""1""}"	"{""钢制零件"": ""1""}"	"[""1""]"	"[""1""]"
M163	165	配件机	配件-钢制零件	100	1	1	9	1	1	"{""钢块"": ""1""}"	"{""钢制零件"": ""1""}"	"[""1""]"	"[""1""]"
M164	166	种植机	种植-荞花	103	1	1	25	1	1	"{""荞花种子"": ""1""}"	"{""荞花"": ""1""}"	"[""1""]"	"[""1""]"
M165	167	种植机	种植-荞花	103	1	1	25	1	1	"{""荞花种子"": ""1""}"	"{""荞花"": ""1""}"	"[""1""]"	"[""1""]"
M166	168	种植机	种植-荞花	103	1	1	25	1	1	"{""荞花种子"": ""1""}"	"{""荞花"": ""1""}"	"[""1""]"	"[""1""]"
M167	169	种植机	种植-荞花	103	1	1	25	1	1	"{""荞花种子"": ""1""}"	"{""荞花"": ""1""}"	"[""1""]"	"[""1""]"
M168	170	种植机	种植-荞花	103	1	1	25	1	1	"{""荞花种子"": ""1""}"	"{""荞花"": ""1""}"	"[""1""]"	"[""1""]"
M169	171	种植机	种植-荞花	103	1	1	25	1	1	"{""荞花种子"": ""1""}"	"{""荞花"": ""1""}"	"[""1""]"	"[""1""]"
M170	172	种植机	种植-荞花	103	1	1	25	1	1	"{""荞花种子"": ""1""}"	"{""荞花"": ""1""}"	"[""1""]"	"[""1""]"
M171	173	种植机	种植-荞花	103	1	1	25	1	1	"{""荞花种子"": ""1""}"	"{""荞花"": ""1""}"	"[""1""]"	"[""1""]"
M172	174	种植机	种植-荞花	103	1	1	25	1	1	"{""荞花种子"": ""1""}"	"{""荞花"": ""1""}"	"[""1""]"	"[""1""]"
M173	175	种植机	种植-荞花	103	1	1	25	1	1	"{""荞花种子"": ""1""}"	"{""荞花"": ""1""}"	"[""1""]"	"[""1""]"
M174	176	种植机	种植-荞花	103	1	1	25	1	2	"{""荞花种子"": ""1""}"	"{""荞花"": ""1""}"	"[""1""]"	"[""1/2"", ""1/2""]"
M175	177	种植机	种植-砂叶	104	1	1	25	1	1	"{""砂叶种子"": ""1""}"	"{""砂叶"": ""1""}"	"[""1""]"	"[""1""]"
M176	178	种植机	种植-砂叶	104	1	1	25	1	1	"{""砂叶种子"": ""1""}"	"{""砂叶"": ""1""}"	"[""1""]"	"[""1""]"
M177	179	种植机	种植-砂叶	104	1	1	25	1	1	"{""砂叶种子"": ""1""}"	"{""砂叶"": ""1""}"	"[""1""]"	"[""1""]"
M178	180	种植机	种植-砂叶	104	1	1	25	1	1	"{""砂叶种子"": ""1""}"	"{""砂叶"": ""1""}"	"[""1""]"	"[""1""]"
M179	181	种植机	种植-砂叶	104	1	1	25	1	1	"{""砂叶种子"": ""1""}"	"{""砂叶"": ""1""}"	"[""1""]"	"[""1""]"
M180	182	种植机	种植-砂叶	104	1	1	25	1	1	"{""砂叶种子"": ""1""}"	"{""砂叶"": ""1""}"	"[""1""]"	"[""1""]"
M181	183	种植机	种植-砂叶	104	1	1	25	1	1	"{""砂叶种子"": ""1""}"	"{""砂叶"": ""1""}"	"[""1""]"	"[""1""]"
M182	184	种植机	种植-砂叶	104	1	1	25	1	1	"{""砂叶种子"": ""1""}"	"{""砂叶"": ""1""}"	"[""1""]"	"[""1""]"
M183	185	种植机	种植-砂叶	104	1	1	25	1	1	"{""砂叶种子"": ""1""}"	"{""砂叶"": ""1""}"	"[""1""]"	"[""1""]"
M184	186	种植机	种植-砂叶	104	1	1	25	1	1	"{""砂叶种子"": ""1""}"	"{""砂叶"": ""1""}"	"[""1""]"	"[""1""]"
M185	187	种植机	种植-砂叶	104	1	1	25	1	1	"{""砂叶种子"": ""1""}"	"{""砂叶"": ""1""}"	"[""1""]"	"[""1""]"
M186	188	种植机	种植-砂叶	104	1	1	25	1	1	"{""砂叶种子"": ""1""}"	"{""砂叶"": ""1""}"	"[""1""]"	"[""1""]"
M187	189	种植机	种植-砂叶	104	1	1	25	1	1	"{""砂叶种子"": ""1""}"	"{""砂叶"": ""1""}"	"[""1""]"	"[""1""]"
M188	190	种植机	种植-砂叶	104	1	1	25	1	1	"{""砂叶种子"": ""1""}"	"{""砂叶"": ""1""}"	"[""1""]"	"[""1""]"
M189	191	种植机	种植-砂叶	104	1	1	25	1	1	"{""砂叶种子"": ""1""}"	"{""砂叶"": ""1""}"	"[""1""]"	"[""1""]"
M190	192	种植机	种植-砂叶	104	1	1	25	1	1	"{""砂叶种子"": ""1""}"	"{""砂叶"": ""1""}"	"[""1""]"	"[""1""]"
M191	193	种植机	种植-砂叶	104	1	1	25	1	1	"{""砂叶种子"": ""1""}"	"{""砂叶"": ""1""}"	"[""1""]"	"[""1""]"
M192	194	种植机	种植-砂叶	104	1	1	25	1	1	"{""砂叶种子"": ""1""}"	"{""砂叶"": ""1""}"	"[""1""]"	"[""1""]"
M193	195	种植机	种植-砂叶	104	1	1	25	1	1	"{""砂叶种子"": ""1""}"	"{""砂叶"": ""1""}"	"[""1""]"	"[""1""]"
M194	196	种植机	种植-砂叶	104	1	1	25	1	1	"{""砂叶种子"": ""1""}"	"{""砂叶"": ""1""}"	"[""1""]"	"[""1""]"
M195	197	种植机	种植-砂叶	104	1	1	25	1	2	"{""砂叶种子"": ""1""}"	"{""砂叶"": ""1""}"	"[""1""]"	"[""1/2"", ""1/2""]"
M196	198	采种机	采种-荞花	107	1	1	25	1	2	"{""荞花"": ""1""}"	"{""荞花种子"": ""2""}"	"[""1""]"	"[""1"", ""1""]"
M197	199	采种机	采种-荞花	107	1	1	25	1	2	"{""荞花"": ""1""}"	"{""荞花种子"": ""2""}"	"[""1""]"	"[""1"", ""1""]"
M198	200	采种机	采种-荞花	107	1	1	25	1	2	"{""荞花"": ""1""}"	"{""荞花种子"": ""2""}"	"[""1""]"	"[""1"", ""1""]"
M199	201	采种机	采种-荞花	107	1	1	25	1	2	"{""荞花"": ""1""}"	"{""荞花种子"": ""2""}"	"[""1""]"	"[""1"", ""1""]"
M200	202	采种机	采种-荞花	107	1	1	25	1	2	"{""荞花"": ""1""}"	"{""荞花种子"": ""2""}"	"[""1""]"	"[""1"", ""1""]"
M201	203	采种机	采种-荞花	107	1/2	1/2	25	1	1	"{""荞花"": ""1/2""}"	"{""荞花种子"": ""1""}"	"[""1/2""]"	"[""1""]"
M202	204	采种机	采种-砂叶	108	1	1	25	1	2	"{""砂叶"": ""1""}"	"{""砂叶种子"": ""2""}"	"[""1""]"	"[""1"", ""1""]"
M203	205	采种机	采种-砂叶	108	1	1	25	1	2	"{""砂叶"": ""1""}"	"{""砂叶种子"": ""2""}"	"[""1""]"	"[""1"", ""1""]"
M204	206	采种机	采种-砂叶	108	1	1	25	1	2	"{""砂叶"": ""1""}"	"{""砂叶种子"": ""2""}"	"[""1""]"	"[""1"", ""1""]"
M205	207	采种机	采种-砂叶	108	1	1	25	1	2	"{""砂叶"": ""1""}"	"{""砂叶种子"": ""2""}"	"[""1""]"	"[""1"", ""1""]"
M206	208	采种机	采种-砂叶	108	1	1	25	1	2	"{""砂叶"": ""1""}"	"{""砂叶种子"": ""2""}"	"[""1""]"	"[""1"", ""1""]"
M207	209	采种机	采种-砂叶	108	1	1	25	1	2	"{""砂叶"": ""1""}"	"{""砂叶种子"": ""2""}"	"[""1""]"	"[""1"", ""1""]"
M208	210	采种机	采种-砂叶	108	1	1	25	1	2	"{""砂叶"": ""1""}"	"{""砂叶种子"": ""2""}"	"[""1""]"	"[""1"", ""1""]"
M209	211	采种机	采种-砂叶	108	1	1	25	1	2	"{""砂叶"": ""1""}"	"{""砂叶种子"": ""2""}"	"[""1""]"	"[""1"", ""1""]"
M210	212	采种机	采种-砂叶	108	1	1	25	1	2	"{""砂叶"": ""1""}"	"{""砂叶种子"": ""2""}"	"[""1""]"	"[""1"", ""1""]"
M211	213	采种机	采种-砂叶	108	1	1	25	1	2	"{""砂叶"": ""1""}"	"{""砂叶种子"": ""2""}"	"[""1""]"	"[""1"", ""1""]"
M212	214	采种机	采种-砂叶	108	1/2	1/2	25	1	1	"{""砂叶"": ""1/2""}"	"{""砂叶种子"": ""1""}"	"[""1/2""]"	"[""1""]"
M213	215	封装机	封装-电池	111	1/5	1	24	5	1	"{""钢制零件"": ""2"", ""致密源石粉末"": ""3""}"	"{""高容谷地电池"": ""1/5""}"	"[""1"", ""1"", ""1"", ""1"", ""1""]"	"[""1/5""]"
M214	216	封装机	封装-电池	111	1/5	1	24	5	1	"{""钢制零件"": ""2"", ""致密源石粉末"": ""3""}"	"{""高容谷地电池"": ""1/5""}"	"[""1"", ""1"", ""1"", ""1"", ""1""]"	"[""1/5""]"
M215	217	封装机	封装-电池	111	1/5	1	24	5	1	"{""钢制零件"": ""2"", ""致密源石粉末"": ""3""}"	"{""高容谷地电池"": ""1/5""}"	"[""1"", ""1"", ""1"", ""1"", ""1""]"	"[""1/5""]"
M216	218	灌装机	灌装-胶囊	114	1/5	1	24	4	1	"{""钢质瓶"": ""2"", ""细磨荞花粉末"": ""2""}"	"{""精选荞愈胶囊"": ""1/5""}"	"[""1"", ""1"", ""1"", ""1""]"	"[""1/5""]"
M217	219	灌装机	灌装-胶囊	114	1/5	1	24	4	1	"{""钢质瓶"": ""2"", ""细磨荞花粉末"": ""2""}"	"{""精选荞愈胶囊"": ""1/5""}"	"[""1"", ""1"", ""1"", ""1""]"	"[""1/5""]"
M218	220	灌装机	灌装-胶囊	114	3/20	3/4	24	4	1	"{""钢质瓶"": ""3/2"", ""细磨荞花粉末"": ""3/2""}"	"{""精选荞愈胶囊"": ""3/20""}"	"[""1"", ""1/2"", ""1"", ""1/2""]"	"[""3/20""]"
