通道id,源机器id,源机型,源配方,物品,件每20tick,目标机器id,目标机型,目标配方,是否满速
C295,M109,3x3,精炼-致密蓝铁,钢块,20,M155,3x3,塑形-钢质瓶,是
C296,M110,3x3,精炼-致密蓝铁,钢块,20,M154,3x3,塑形-钢质瓶,是
C297,M111,3x3,精炼-致密蓝铁,钢块,20,M153,3x3,塑形-钢质瓶,是
C298,M112,3x3,精炼-致密蓝铁,钢块,20,M152,3x3,塑形-钢质瓶,是
C299,M113,3x3,精炼-致密蓝铁,钢块,20,M157,3x3,塑形-钢质瓶,是
C300,M114,3x3,精炼-致密蓝铁,钢块,20,M158,3x3,配件-钢制零件,是
C301,M115,3x3,精炼-致密蓝铁,钢块,20,M159,3x3,配件-钢制零件,是
C302,M116,3x3,精炼-致密蓝铁,钢块,20,M160,3x3,配件-钢制零件,是
C303,M117,3x3,精炼-致密蓝铁,钢块,20,M161,3x3,配件-钢制零件,是
C304,M118,3x3,精炼-致密蓝铁,钢块,20,M162,3x3,配件-钢制零件,是
C305,M119,3x3,精炼-致密蓝铁,钢块,20,M163,3x3,配件-钢制零件,是
C306,M152,3x3,塑形-钢质瓶,钢质瓶,20,M216,6x4,灌装-胶囊,是
C307,M153,3x3,塑形-钢质瓶,钢质瓶,20,M217,6x4,灌装-胶囊,是
C308,M154,3x3,塑形-钢质瓶,钢质瓶,20,M218,6x4,灌装-胶囊,是
C309,M155,3x3,塑形-钢质瓶,钢质瓶,20,M217,6x4,灌装-胶囊,是
C310,M156,3x3,塑形-钢质瓶,钢质瓶,20,M216,6x4,灌装-胶囊,是
C311,M157,3x3,塑形-钢质瓶,钢质瓶,10,M218,6x4,灌装-胶囊,否
C312,M213,6x4,封装-电池,高容谷地电池,4,协议核心,,,否
C313,M214,6x4,封装-电池,高容谷地电池,4,协议核心,,,否
C314,M215,6x4,封装-电池,高容谷地电池,4,协议核心,,,否
